Name of the place,averaged value of the six values,value of the density
Itala_afterChange,262.93270878523964,100
Itala_afterChange,265.275019197994,120
Itala_afterChange,265.3244661783611,140
Itala_afterChange,265.789655415733,160
Itala_afterChange,269.82303023832907,180
Itala_afterChange,271.877777727451,200
Itala_afterChange,271.83496688002634,220
Itala_afterChange,275.0817567878956,240
Itala_afterChange,256.5171576111283,60
Itala_afterChange,259.549715562489,80
jintur 1,252.73314326561953,100
jintur 1,255.7095098434789,120
jintur 1,274.35248592558077,140
jintur 1,262.61968879687,160
jintur 1,253.95186916219313,180
jintur 1,271.2611596832518,200
jintur 1,260.7828826484801,220
jintur 1,265.89241178197034,240
jintur 1,244.85352016301434,60
jintur 1,247.89792118201123,80
jintur 2,278.44417489735383,100
jintur 2,277.2416777710581,120
jintur 2,279.331484371517,140
jintur 2,281.57203605830756,160
jintur 2,287.56333510385997,180
jintur 2,289.122883910141,200
jintur 2,291.07125459968773,220
jintur 2,293.5694553277494,240
jintur 2,218.8155163334346,60
jintur 2,277.18233366280054,80
koregaon 2,254.6595626488829,100
koregaon 2,262.44769526149224,120
koregaon 2,273.22758400014885,140
koregaon 2,290.92899959247325,160
koregaon 2,310.15742354835487,180
koregaon 2,364.7492904792389,200
koregaon 2,465.18530066354765,220
koregaon 2,550.0213126275617,240
koregaon 2,245.52955295706985,60
koregaon 2,249.38588925283793,80
koregaon_soil_1,241.07177633549531,100
koregaon_soil_1,244.76144628292408,120
koregaon_soil_1,249.7887124406059,140
koregaon_soil_1,252.5872260550391,160
koregaon_soil_1,252.87864506979773,180
koregaon_soil_1,261.0273570301514,200
koregaon_soil_1,272.67114326087125,220
koregaon_soil_1,292.54170170515044,240
koregaon_soil_1,235.40408806220913,60
koregaon_soil_1,237.97901725833458,80
manvat,271.25028582125447,100
manvat,263.9789666763957,120
manvat,272.8852783727389,140
manvat,285.96915507228255,160
manvat,308.2735553571532,180
manvat,346.5573686118468,200
manvat,417.6939517625763,220
manvat,491.2916703529066,240
manvat,262.93413473035406,60
manvat,265.4054446132653,80
manvat 2,266.5277044173345,100
manvat 2,270.051352988972,120
manvat 2,273.3369018662234,140
manvat 2,276.15992111172045,160
manvat 2,279.8793982627698,180
manvat 2,282.17534284231766,200
manvat 2,285.3385575035962,220
manvat 2,286.21841777940205,240
manvat 2,266.29167178262065,60
manvat 2,270.6330283536892,80
taroda_afterChange,259.45653088397916,100
taroda_afterChange,265.09677251209024,120
taroda_afterChange,270.5419201416384,140
taroda_afterChange,278.7714420035755,160
taroda_afterChange,287.29498717006794,180
taroda_afterChange,295.9937881924535,200
taroda_afterChange,303.24727078500086,220
taroda_afterChange,319.0620292645114,240
taroda_afterChange,254.75505619636405,60
taroda_afterChange,255.77454019943755,80
ujawala_phata_afterChange,308.06293463234454,100
ujawala_phata_afterChange,300.752215706002,120
ujawala_phata_afterChange,305.45933393856427,140
ujawala_phata_afterChange,312.7606335727559,160
ujawala_phata_afterChange,321.9137997893701,180
ujawala_phata_afterChange,331.24942315017705,200
ujawala_phata_afterChange,339.3200471408624,220
ujawala_phata_afterChange,350.32096726651633,240
ujawala_phata_afterChange,283.53946179231417,60
ujawala_phata_afterChange,285.9592796375799,80
ujwala,250.56910928763054,100
ujwala,259.45770721402096,120
ujwala,250.68065531426552,140
ujwala,254.1015239605682,160
ujwala,257.55299377284683,180
ujwala,260.9585190891842,200
ujwala,268.7522356396626,220
ujwala,279.1771820522488,240
ujwala,248.33550917741593,60
ujwala,239.80343094941384,80
