Location,Density,N_Actual,P_Actual,K_Actual,N_Predicted,P_Predicted,K_Predicted
manvat 2,100,2.005,0.1754,6.143424,2.1128538,0.20107295,7.646645
manvat 2,120,1.67104,0.14616,5.11952,2.0598314,0.19856879,7.351651
manvat 2,140,1.43232,0.12528,4.38816,1.5174009,0.14057867,4.8059607
manvat 2,160,1.25328,0.10962,3.83964,1.2714015,0.13454989,3.7926617
manvat 2,180,1.114027,0.09744,3.413,1.1508881,0.10145135,3.5935416
manvat 2,200,1.002624,0.087696,3.071712,1.01858,0.09779836,3.1769125
manvat 2,220,0.911476,0.079724,2.792465,0.9388836,0.095097765,3.1444066
manvat 2,240,0.83552,0.07308,2.55976,0.93661517,0.09229066,3.1759825
manvat 2,60,3.34208,0.29232,10.23904,2.6801763,0.22159256,9.942576
manvat 2,80,2.50656,0.21924,7.67928,1.9642047,0.1670461,6.6946287
